param_n_estimators,param_max_depth,mean_test_score,std_test_score,rank_test_score
11,1,0.9666666666666668,0.02108185106778919,1
51,1,0.9466666666666665,0.03399346342395189,23
54,1,0.9466666666666665,0.03399346342395189,23
57,1,0.9333333333333332,0.02108185106778919,28
11,2,0.9533333333333334,0.03399346342395189,21
51,2,0.9466666666666665,0.03399346342395189,23
54,2,0.9466666666666665,0.03399346342395189,23
57,2,0.9466666666666665,0.03399346342395189,23
11,3,0.96,0.024944382578492935,20
51,3,0.9666666666666668,0.02108185106778919,1
54,3,0.9666666666666668,0.02108185106778919,1
57,3,0.9666666666666668,0.02108185106778919,1
11,4,0.9533333333333334,0.03399346342395189,21
51,4,0.9666666666666668,0.02108185106778919,1
54,4,0.9666666666666668,0.02108185106778919,1
57,4,0.9666666666666668,0.02108185106778919,1
11,5,0.9666666666666668,0.02108185106778919,1
51,5,0.9666666666666668,0.02108185106778919,1
54,5,0.9666666666666668,0.02108185106778919,1
57,5,0.9666666666666668,0.02108185106778919,1
11,6,0.9666666666666668,0.02108185106778919,1
51,6,0.9666666666666668,0.02108185106778919,1
54,6,0.9666666666666668,0.02108185106778919,1
57,6,0.9666666666666668,0.02108185106778919,1
11,7,0.9666666666666668,0.02108185106778919,1
51,7,0.9666666666666668,0.02108185106778919,1
54,7,0.9666666666666668,0.02108185106778919,1
57,7,0.9666666666666668,0.02108185106778919,1
