CASE_ID;BREED;GENDER_01;AGEATSURGERYmo;BODYWEIGHTKG;Taglia;BCS;INDICATIONFORTHR;HIPRL;YEAR;n_luxation;GENERATION;STEMSIZE;CUPSIZE;NECKSIZE;HEADSIZE;ALO;CUPRETROVERSION;STEMANTEVERSIONREAL;RECTUSFEMORISM.RELEASE;first_lux_days_after_thr;DIRECTION;LUX_01;LUX_CR
2651;11;0;11,0333333333333;23,1;1;5;2;L;2018;;6;MEDIUM;3;4;0;45;10;19,2;NO;;;0;1
2652;9;0;12,3333333333333;48,3;1;6;2;R;2018;;6;LARGE;7;5;3;45;30;31,3;NO;;;0;1
2653;10;1;8,26666666666667;16,7;0;4;2;R;2018;;6;SMALL;2;4;0;45;24;33,3;PARTIAL;;;0;1
2654;10;0;14,1333333333333;32;1;5;2;L;2018;;6;MEDIUM;3;4;0;45;16;17,7;PARTIAL;;;0;1
2655;1;1;9,2;16,4;0;4;2;L;2018;;6;X-SMALL;1;4;0;40;10;27,7;NO;;;0;1
2656;11;1;13,4;21,9;1;5;2;L;2018;;6;X-SMALL;2;4;0;40;11;14,6;NO;;;0;1
2657;5;1;9,03333333333333;22,2;1;4;2;L;2018;;6;MEDIUM;2;4;0;40;22;27,7;PARTIAL;;;0;1
2658;9;0;35,4333333333333;43;1;6,5;2;R;2018;;6;MEDIUM;7;5;3;42;15;24,2;NO;;;0;1
2659;11;1;9,36666666666667;20;0;5;2;R;2018;;6;MEDIUM;3;4;0;45;15;22,5;YES;;;0;1
2660;10;1;9,8;25,2;1;5;2;L;2018;;6;X-SMALL;2;4;0;40;20;27,7;NO;;;0;1
2661;5;1;10,4;27;1;4;2;L;2018;;6;MEDIUM;3;4;0;45;21;24,2;PARTIAL;;;0;1
2662;10;0;25,9;25,3;1;5;2;R;2018;;6;SMALL;2;4;0;40;12;22,5;NO;;;0;1
2663;12;0;9,7;35;1;5;2;L;2018;;6;MEDIUM;3;4;0;40;18;17,7;NO;;;0;1
2664;9;0;12,2666666666667;36,7;1;6;2;R;2018;;6;MEDIUM;7;5;3;40;18;27,7;NO;;;0;1
2665;9;1;8,03333333333333;36,5;1;5;2;L;2018;;6;MEDIUM;4;5;1;40;12;24,2;NO;;;0;1
2666;12;0;66,0333333333333;33,7;1;8;2;L;2018;;6;X-SMALL;2;4;0;48;15;14,6;NO;;;0;1
2667;10;0;9;34,7;1;8;2;L;2018;;6;MEDIUM;3;4;0;40;15;19,2;NO;;;0;1
2668;10;1;8,13333333333333;22,9;1;5;2;R;2018;;6;SMALL;3;4;0;45;20;22,5;NO;;;0;1
2669;10;0;118,133333333333;46;1;8;2;L;2018;;6;MEDIUM;7;5;3;46;22;25,9;NO;;;0;1
2670;7;0;7,1;37,5;1;5;2;L;2018;;6;LARGE;7;5;3;38;16;24,2;NO;;;0;1
2671;9;0;17,8333333333333;41,4;1;4;2;R;2018;;6;LARGE;7;5;3;45;20;20,8;NO;;;0;1
2672;5;1;12,8;23,1;1;4;2;R;2018;;6;MEDIUM;2;4;0;38;24;17,7;NO;;;0;1
